Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0586568,2012-03-18,2012-03-18,,Mads Mikkelsen,Hannibal,1965-11-22
2,nm0001602,2012-03-18,2012-03-18,,Guy Pearce,Memento,1967-10-05
3,nm0000369,2012-03-18,2012-03-18,,Matt Dillon,There's Something About Mary,1964-02-18
4,nm0001429,2012-03-18,2012-03-18,,Takeshi Kitano,Zatôichi,1947-01-18
5,nm0001993,2012-03-18,2012-03-18,,Vincent Cassel,Black Swan,1966-11-23
6,nm0000686,2012-03-18,2012-03-18,,Christopher Walken,The Deer Hunter,1943-03-31
7,nm0496932,2012-03-18,2012-03-18,,Lee Byung-hun,Dalkomhan insaeng,1970-07-12
8,nm0068260,2012-03-18,2012-03-18,,Jamie Bell,Billy Elliot,1986-03-14
9,nm0000323,2012-03-18,2012-03-18,,Michael Caine,The Dark Knight,1933-03-14
10,nm0330687,2012-03-18,2012-03-18,,Joseph Gordon-Levitt,Inception,1981-02-17
11,nm0670408,2012-03-18,2012-03-18,,Simon Pegg,Shaun of the Dead,1970-02-14
12,nm0000619,2012-03-18,2012-03-18,,Tim Roth,Rob Roy,1961-05-14
13,nm0158856,2012-03-18,2012-03-18,,Choi Min-sik,Oldeuboi,1962-01-22
14,nm0000288,2012-03-18,2012-03-18,,Christian Bale,The Dark Knight,1974-01-30
15,nm0860947,2012-03-18,2012-03-18,,Ulrich Thomsen,Festen,1963-12-06
16,nm0000606,2012-03-18,2012-03-18,,Jean Reno,Léon,1948-07-30
17,nm0004778,2012-03-18,2012-03-18,,Adrien Brody,The Pianist,1973-04-14
18,nm0001570,2012-03-18,2012-03-18,,Edward Norton,Fight Club,1969-08-18
19,nm0000243,2012-03-18,2012-03-18,,Denzel Washington,Fences,1954-12-28
20,nm0167388,2012-03-18,2012-03-18,,François Cluzet,Intouchables,1955-09-21
21,nm0316079,2012-03-18,2012-03-18,,Paul Giamatti,Sideways,1967-06-06
22,nm0000197,2012-03-18,2012-03-18,,Jack Nicholson,Chinatown,1937-04-22
23,nm0001845,2012-03-18,2012-03-18,,Forest Whitaker,The Last King of Scotland,1961-07-15
24,nm0928948,2012-03-18,2012-03-18,,Roman Wilhelmi,Cma,1936-06-06
25,nm0322407,2012-03-18,2012-03-18,,Brendan Gleeson,Calvary,1955-03-29
26,nm0927240,2012-03-18,2012-03-18,,Robert Wieckiewicz,Walesa. Czlowiek z nadziei,1967-06-30
27,nm0000332,2012-03-18,2012-03-18,,Don Cheadle,Crash,1964-11-29
28,nm0350453,2012-03-18,2012-03-18,,Jake Gyllenhaal,Nightcrawler,1980-12-19
29,nm0185819,2012-03-18,2012-03-18,,Daniel Craig,Casino Royale,1968-03-02
30,nm0935653,2012-03-18,2012-03-18,,Ray Winstone,The Departed,1957-02-19
31,nm0000114,2012-03-18,2012-03-18,,Steve Buscemi,Fargo,1957-12-13
